,product_name,final_price,installment_price,uptaded_at,max_price,min_price
55,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:08:46,17399,17399
56,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:08:58,17399,17399
57,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:09:08,17399,17399
58,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:09:19,17399,17399
59,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:09:31,17399,17399
60,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:09:42,17399,17399
61,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:09:52,17399,17399
62,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:10:03,17399,17399
63,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:10:14,17399,17399
64,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:10:25,17399,17399
65,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:10:35,17399,17399
66,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:10:46,17399,17399
67,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:10:57,17399,17399
68,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:11:08,17399,17399
69,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:11:19,17399,17399
70,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:11:29,17399,17399
71,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:11:40,17399,17399
72,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:11:51,17399,17399
73,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:12:02,17399,17399
74,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,,2024-11-14 21:12:13,17399,17399
75,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:12:24,17399,17399
76,Apple Macbook Pro 14 Chip M4 16gb 512ssd 2024,17399,1739,2024-11-14 21:12:35,17399,17399
